iter	Passed	Remaining
0	149	149246
1	153	76412
2	157	52199
3	160	40027
4	164	32660
5	167	27760
6	171	24321
7	175	21771
8	179	19785
9	183	18203
10	187	16860
11	191	15784
12	196	14884
13	199	14067
14	202	13324
15	205	12644
16	208	12063
17	210	11508
18	212	10990
19	214	10531
20	216	10112
21	218	9721
22	220	9352
23	221	9022
24	223	8712
25	225	8430
26	226	8155
27	227	7897
28	228	7659
29	230	7436
30	231	7227
31	232	7026
32	233	6845
33	234	6671
34	235	6502
35	236	6340
36	237	6185
37	238	6040
38	239	5905
39	240	5778
40	241	5659
41	243	5542
42	244	5431
43	244	5322
44	245	5220
45	246	5121
46	247	5025
47	248	4936
48	249	4848
49	250	4765
50	251	4683
51	252	4604
52	253	4528
53	254	4455
54	255	4385
55	256	4316
56	256	4249
57	257	4186
58	258	4126
59	259	4066
60	260	4010
61	261	3957
62	262	3904
63	263	3853
64	264	3805
65	265	3759
66	266	3715
67	267	3665
68	268	3625
69	269	3582
70	270	3542
71	271	3503
72	272	3465
73	273	3427
74	274	3391
75	276	3356
76	277	3323
77	278	3289
78	279	3256
79	280	3226
80	281	3193
81	282	3162
82	283	3130
83	284	3099
84	285	3068
85	285	3039
86	286	3009
87	287	2980
88	288	2953
89	289	2927
90	290	2901
91	291	2875
92	292	2849
93	292	2823
94	293	2797
95	295	2780
96	296	2759
97	297	2736
98	298	2713
99	299	2692
100	300	2670
101	300	2645
102	301	2623
103	301	2601
104	302	2580
105	303	2559
106	304	2538
107	305	2519
108	306	2502
109	307	2484
110	308	2467
111	309	2451
112	310	2437
113	311	2420
114	312	2403
115	313	2387
116	314	2372
117	315	2356
118	316	2340
119	317	2325
120	318	2310
121	319	2295
122	319	2277
123	320	2262
124	321	2247
125	321	2232
126	322	2218
127	323	2202
128	324	2189
129	325	2176
130	326	2164
131	327	2152
132	328	2140
133	329	2127
134	330	2115
135	331	2104
136	332	2093
137	333	2080
138	334	2074
139	335	2063
140	336	2051
141	338	2048
142	341	2044
143	343	2042
144	346	2042
145	348	2040
146	350	2034
147	352	2028
148	354	2022
149	356	2020
150	358	2014
151	359	2007
152	361	2000
153	362	1991
154	363	1984
155	365	1976
156	366	1968
157	367	1960
158	369	1952
159	370	1946
160	372	1938
161	373	1931
162	374	1924
163	376	1917
164	377	1909
165	378	1902
166	380	1895
167	381	1888
168	382	1881
169	384	1875
170	385	1868
171	387	1864
172	389	1863
173	392	1863
174	395	1866
175	398	1866
176	401	1866
177	403	1863
178	405	1859
179	407	1855
180	407	1845
181	409	1839
182	410	1832
183	411	1824
184	412	1815
185	413	1808
186	414	1799
187	414	1791
188	416	1785
189	416	1777
190	417	1769
191	418	1761
192	419	1753
193	420	1746
194	421	1738
195	421	1730
196	422	1722
197	423	1715
198	424	1707
199	425	1700
200	425	1693
201	426	1686
202	427	1679
203	428	1672
204	429	1665
205	430	1658
206	431	1652
207	432	1646
208	433	1640
209	434	1633
210	435	1627
211	436	1620
212	436	1614
213	437	1607
214	438	1601
215	439	1595
216	440	1588
217	441	1582
218	441	1575
219	442	1569
220	443	1563
221	444	1556
222	445	1550
223	446	1545
224	447	1540
225	448	1534
226	448	1528
227	449	1522
228	450	1516
229	451	1510
230	452	1504
231	452	1498
232	453	1492
233	454	1486
234	454	1481
235	455	1475
236	456	1469
237	457	1463
238	457	1458
239	458	1452
240	459	1447
241	460	1442
242	461	1437
243	462	1432
244	463	1427
245	464	1422
246	464	1416
247	465	1411
248	466	1406
249	467	1401
250	467	1395
251	468	1390
252	469	1385
253	470	1380
254	470	1376
255	471	1371
256	472	1366
257	473	1361
258	474	1356
259	475	1351
260	475	1347
261	477	1344
262	478	1341
263	479	1336
264	480	1331
265	481	1327
266	481	1322
267	482	1317
